epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.8038,3.1909,3.98686,1.24459,0.01389,0.47574,0.08569,0.0289,2.5601,3.60938,0.97002,0.000328283,0.000328283,0.000328283
2,97.1264,2.72154,2.58169,0.98226,0.39556,0.31771,0.3084,0.11936,2.39619,2.36796,0.94306,0.000334116,0.000334116,0.000334116
