epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.8441,3.15979,3.82282,1.22045,0.18343,0.20822,0.12625,0.03608,2.68269,2.83595,0.98148,0.000330789,0.000330789,0.000330789
2,48.891,2.69889,2.44098,0.98152,0.40172,0.42695,0.35771,0.15793,2.26204,2.00003,0.94138,0.000444962,0.000444962,0.000444962
3,72.7797,2.53255,2.11945,0.95176,0.39424,0.48213,0.37465,0.11857,2.46098,1.96648,0.93389,0.000339135,0.000339135,0.000339135
