epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.5808,3.19112,3.98629,1.24231,0.0115,0.47066,0.07814,0.02385,2.51285,3.61261,0.95695,0.000328283,0.000328283,0.000328283
2,34.6591,2.73442,2.54731,0.98335,0.4312,0.30207,0.30969,0.12111,2.40889,2.37322,0.95677,0.000530616,0.000530616,0.000530616
3,48.9957,2.52753,2.11566,0.94672,0.3559,0.38718,0.31565,0.10349,2.55011,2.02879,0.94579,0.000600949,0.000600949,0.000600949
4,62.9851,2.39517,1.95458,0.92661,0.45499,0.51715,0.45043,0.18971,2.14273,1.76067,0.90143,0.000406,0.000406,0.000406
5,75.5075,2.3672,1.8736,0.91424,0.47696,0.52907,0.46295,0.13744,2.43571,1.80261,0.92501,0.000208,0.000208,0.000208
