epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.652,3.1909,3.98686,1.24459,0.01389,0.47574,0.08569,0.0289,2.5601,3.60938,0.97002,0.000328283,0.000328283,0.000328283
2,90.5647,2.72376,2.49466,0.97995,0.40069,0.35455,0.32264,0.13145,2.349,2.24541,0.95112,0.000530616,0.000530616,0.000530616
3,135.956,2.52433,2.09095,0.94732,0.44051,0.49977,0.42719,0.17208,2.23634,1.85384,0.9233,0.000600949,0.000600949,0.000600949
4,181.056,2.40257,1.9392,0.92548,0.49051,0.5675,0.49973,0.21761,2.09486,1.72393,0.89342,0.000406,0.000406,0.000406
5,225.9,2.36378,1.86718,0.91334,0.50959,0.57297,0.51136,0.16354,2.32583,1.7226,0.91428,0.000208,0.000208,0.000208
